survey_period,sex,age_group,indicator,category,value_pct,est_thousand,note
2022,Persons,18–24,Daily consumption of fruit(c),Met recommendation,36.6,,
2022,Persons,25–34,Daily consumption of fruit(c),Met recommendation,40.0,,
2022,Persons,35–44,Daily consumption of fruit(c),Met recommendation,41.0,,
2022,Persons,45–54,Daily consumption of fruit(c),Met recommendation,42.2,,
2022,Persons,55–64,Daily consumption of fruit(c),Met recommendation,44.6,,
2022,Persons,65 +,Daily consumption of fruit(c),Met recommendation,55.0,,
2022,Persons,25–44,Daily consumption of fruit(c),Met recommendation,40.5,,
2022,Persons,45–64,Daily consumption of fruit(c),Met recommendation,43.4,,
2022,Persons,65–74,Daily consumption of fruit(c),Met recommendation,52.2,,
2022,Persons,75 +,Daily consumption of fruit(c),Met recommendation,59.0,,
2022,Persons,18–44,Daily consumption of fruit(c),Met recommendation,39.7,,
2022,Persons,45 +,Daily consumption of fruit(c),Met recommendation,48.2,,
2022,Persons,Total 18 +,Daily consumption of fruit(c),Met recommendation,44.1,,
2022,Persons,18–24,Daily consumption of fruit(c),Did not meet recommendation,62.8,,
2022,Persons,25–34,Daily consumption of fruit(c),Did not meet recommendation,60.1,,
2022,Persons,35–44,Daily consumption of fruit(c),Did not meet recommendation,59.0,,
2022,Persons,45–54,Daily consumption of fruit(c),Did not meet recommendation,57.5,,
2022,Persons,55–64,Daily consumption of fruit(c),Did not meet recommendation,55.2,,
2022,Persons,65 +,Daily consumption of fruit(c),Did not meet recommendation,44.8,,
2022,Persons,25–44,Daily consumption of fruit(c),Did not meet recommendation,59.4,,
2022,Persons,45–64,Daily consumption of fruit(c),Did not meet recommendation,56.5,,
2022,Persons,65–74,Daily consumption of fruit(c),Did not meet recommendation,47.8,,
2022,Persons,75 +,Daily consumption of fruit(c),Did not meet recommendation,40.7,,
2022,Persons,18–44,Daily consumption of fruit(c),Did not meet recommendation,60.3,,
2022,Persons,45 +,Daily consumption of fruit(c),Did not meet recommendation,51.9,,
2022,Persons,Total 18 +,Daily consumption of fruit(c),Did not meet recommendation,55.8,,
2022,Persons,18–24,Daily consumption of vegetables(c),Met recommendation,3.0,,
2022,Persons,25–34,Daily consumption of vegetables(c),Met recommendation,6.2,,
2022,Persons,35–44,Daily consumption of vegetables(c),Met recommendation,5.2,,
2022,Persons,45–54,Daily consumption of vegetables(c),Met recommendation,6.2,,
2022,Persons,55–64,Daily consumption of vegetables(c),Met recommendation,6.9,,
2022,Persons,65 +,Daily consumption of vegetables(c),Met recommendation,9.4,,
2022,Persons,25–44,Daily consumption of vegetables(c),Met recommendation,5.8,,
2022,Persons,45–64,Daily consumption of vegetables(c),Met recommendation,6.5,,
2022,Persons,65–74,Daily consumption of vegetables(c),Met recommendation,7.8,,
2022,Persons,75 +,Daily consumption of vegetables(c),Met recommendation,11.8,,
2022,Persons,18–44,Daily consumption of vegetables(c),Met recommendation,5.2,,
2022,Persons,45 +,Daily consumption of vegetables(c),Met recommendation,7.7,,
2022,Persons,Total 18 +,Daily consumption of vegetables(c),Met recommendation,6.5,,
2022,Persons,18–24,Daily consumption of vegetables(c),Did not meet recommendation,96.7,,
2022,Persons,25–34,Daily consumption of vegetables(c),Did not meet recommendation,93.6,,
2022,Persons,35–44,Daily consumption of vegetables(c),Did not meet recommendation,94.8,,
2022,Persons,45–54,Daily consumption of vegetables(c),Did not meet recommendation,93.7,,
2022,Persons,55–64,Daily consumption of vegetables(c),Did not meet recommendation,93.4,,
2022,Persons,65 +,Daily consumption of vegetables(c),Did not meet recommendation,90.4,,
2022,Persons,25–44,Daily consumption of vegetables(c),Did not meet recommendation,94.2,,
2022,Persons,45–64,Daily consumption of vegetables(c),Did not meet recommendation,93.4,,
2022,Persons,65–74,Daily consumption of vegetables(c),Did not meet recommendation,92.1,,
2022,Persons,75 +,Daily consumption of vegetables(c),Did not meet recommendation,88.6,,
2022,Persons,18–44,Daily consumption of vegetables(c),Did not meet recommendation,94.8,,
2022,Persons,45 +,Daily consumption of vegetables(c),Did not meet recommendation,92.3,,
2022,Persons,Total 18 +,Daily consumption of vegetables(c),Did not meet recommendation,93.5,,
2022,Persons,18–24,Daily consumption of fruit and vegetables(c),Met recommendation,2.1,,
2022,Persons,25–34,Daily consumption of fruit and vegetables(c),Met recommendation,3.9,,
2022,Persons,35–44,Daily consumption of fruit and vegetables(c),Met recommendation,3.2,,
2022,Persons,45–54,Daily consumption of fruit and vegetables(c),Met recommendation,3.9,,
2022,Persons,55–64,Daily consumption of fruit and vegetables(c),Met recommendation,4.0,,
2022,Persons,65 +,Daily consumption of fruit and vegetables(c),Met recommendation,6.8,,
2022,Persons,25–44,Daily consumption of fruit and vegetables(c),Met recommendation,3.6,,
2022,Persons,45–64,Daily consumption of fruit and vegetables(c),Met recommendation,3.9,,
2022,Persons,65–74,Daily consumption of fruit and vegetables(c),Met recommendation,5.8,,
2022,Persons,75 +,Daily consumption of fruit and vegetables(c),Met recommendation,8.1,,
2022,Persons,18–44,Daily consumption of fruit and vegetables(c),Met recommendation,3.2,,
2022,Persons,45 +,Daily consumption of fruit and vegetables(c),Met recommendation,5.1,,
2022,Persons,Total 18 +,Daily consumption of fruit and vegetables(c),Met recommendation,4.2,,
2022,Persons,18–24,Daily consumption of fruit and vegetables(c),Did not meet recommendation,97.4,,
2022,Persons,25–34,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.1,,
2022,Persons,35–44,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.7,,
2022,Persons,45–54,Daily consumption of fruit and vegetables(c),Did not meet recommendation,95.8,,
2022,Persons,55–64,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.2,,
2022,Persons,65 +,Daily consumption of fruit and vegetables(c),Did not meet recommendation,93.0,,
2022,Persons,25–44,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.4,,
2022,Persons,45–64,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.1,,
2022,Persons,65–74,Daily consumption of fruit and vegetables(c),Did not meet recommendation,94.1,,
2022,Persons,75 +,Daily consumption of fruit and vegetables(c),Did not meet recommendation,91.7,,
2022,Persons,18–44,Daily consumption of fruit and vegetables(c),Did not meet recommendation,96.6,,
2022,Persons,45 +,Daily consumption of fruit and vegetables(c),Did not meet recommendation,94.9,,
2022,Persons,Total 18 +,Daily consumption of fruit and vegetables(c),Did not meet recommendation,95.7,,
2022,Persons,18–24,Usual daily consumption of fruit,Does not eat fruit,14.9,,
2022,Persons,25–34,Usual daily consumption of fruit,Does not eat fruit,12.4,,
2022,Persons,35–44,Usual daily consumption of fruit,Does not eat fruit,11.4,,
2022,Persons,45–54,Usual daily consumption of fruit,Does not eat fruit,12.8,,
2022,Persons,55–64,Usual daily consumption of fruit,Does not eat fruit,13.7,,
2022,Persons,65 +,Usual daily consumption of fruit,Does not eat fruit,9.1,,
2022,Persons,25–44,Usual daily consumption of fruit,Does not eat fruit,11.9,,
2022,Persons,45–64,Usual daily consumption of fruit,Does not eat fruit,13.1,,
2022,Persons,65–74,Usual daily consumption of fruit,Does not eat fruit,10.0,,
2022,Persons,75 +,Usual daily consumption of fruit,Does not eat fruit,7.7,,
2022,Persons,18–44,Usual daily consumption of fruit,Does not eat fruit,12.6,,
2022,Persons,45 +,Usual daily consumption of fruit,Does not eat fruit,11.5,,
2022,Persons,Total 18 +,Usual daily consumption of fruit,Does not eat fruit,12.0,,
2022,Persons,18–24,Usual daily consumption of fruit,Less than 1 serve,2.2,,
2022,Persons,25–34,Usual daily consumption of fruit,Less than 1 serve,3.3,,
2022,Persons,35–44,Usual daily consumption of fruit,Less than 1 serve,2.9,,
2022,Persons,45–54,Usual daily consumption of fruit,Less than 1 serve,4.1,,
2022,Persons,55–64,Usual daily consumption of fruit,Less than 1 serve,2.2,,
2022,Persons,65 +,Usual daily consumption of fruit,Less than 1 serve,2.3,,
2022,Persons,25–44,Usual daily consumption of fruit,Less than 1 serve,3.2,,
2022,Persons,45–64,Usual daily consumption of fruit,Less than 1 serve,3.2,,
2022,Persons,65–74,Usual daily consumption of fruit,Less than 1 serve,2.9,,
2022,Persons,75 +,Usual daily consumption of fruit,Less than 1 serve,1.8,,
2022,Persons,18–44,Usual daily consumption of fruit,Less than 1 serve,2.9,,
2022,Persons,45 +,Usual daily consumption of fruit,Less than 1 serve,2.8,,
2022,Persons,Total 18 +,Usual daily consumption of fruit,Less than 1 serve,2.9,,
2022,Persons,18–24,Usual daily consumption of fruit,1 serve,45.5,,
2022,Persons,25–34,Usual daily consumption of fruit,1 serve,44.6,,
2022,Persons,35–44,Usual daily consumption of fruit,1 serve,44.6,,
2022,Persons,45–54,Usual daily consumption of fruit,1 serve,40.7,,
2022,Persons,55–64,Usual daily consumption of fruit,1 serve,39.6,,
2022,Persons,65 +,Usual daily consumption of fruit,1 serve,33.3,,
2022,Persons,25–44,Usual daily consumption of fruit,1 serve,44.5,,
2022,Persons,45–64,Usual daily consumption of fruit,1 serve,40.2,,
2022,Persons,65–74,Usual daily consumption of fruit,1 serve,35.2,,
2022,Persons,75 +,Usual daily consumption of fruit,1 serve,31.3,,
2022,Persons,18–44,Usual daily consumption of fruit,1 serve,44.7,,
2022,Persons,45 +,Usual daily consumption of fruit,1 serve,37.4,,
2022,Persons,Total 18 +,Usual daily consumption of fruit,1 serve,40.9,,
2022,Persons,18–24,Usual daily consumption of fruit,2 serves,25.7,,
2022,Persons,25–34,Usual daily consumption of fruit,2 serves,27.3,,
2022,Persons,35–44,Usual daily consumption of fruit,2 serves,27.4,,
2022,Persons,45–54,Usual daily consumption of fruit,2 serves,28.4,,
2022,Persons,55–64,Usual daily consumption of fruit,2 serves,27.2,,
2022,Persons,65 +,Usual daily consumption of fruit,2 serves,32.9,,
2022,Persons,25–44,Usual daily consumption of fruit,2 serves,27.2,,
2022,Persons,45–64,Usual daily consumption of fruit,2 serves,27.7,,
2022,Persons,65–74,Usual daily consumption of fruit,2 serves,31.7,,
2022,Persons,75 +,Usual daily consumption of fruit,2 serves,34.4,,
2022,Persons,18–44,Usual daily consumption of fruit,2 serves,26.9,,
2022,Persons,45 +,Usual daily consumption of fruit,2 serves,29.8,,
2022,Persons,Total 18 +,Usual daily consumption of fruit,2 serves,28.4,,
2022,Persons,18–24,Usual daily consumption of fruit,3 serves,8.2,,
2022,Persons,25–34,Usual daily consumption of fruit,3 serves,9.7,,
2022,Persons,35–44,Usual daily consumption of fruit,3 serves,10.0,,
2022,Persons,45–54,Usual daily consumption of fruit,3 serves,10.2,,
2022,Persons,55–64,Usual daily consumption of fruit,3 serves,13.4,,
2022,Persons,65 +,Usual daily consumption of fruit,3 serves,16.1,,
2022,Persons,25–44,Usual daily consumption of fruit,3 serves,9.8,,
